time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-90.44930	-263.54300	-243.49700	139.60600	296.97400	303.27800	-97.34120	-161.74400	-181.51600	120.87800	101.53200	159.77400	-170.50300	-79.13650	-183.02400	169.71100	22.06700	144.70500
-999.90300	-90.43500	-263.51300	-243.46600	139.60900	296.98400	303.28700	-97.32890	-161.73300	-181.50000	120.88800	101.54900	159.79300	-170.48600	-79.13430	-183.00900	169.72900	22.07510	144.72400
-999.80300	-90.42070	-263.48300	-243.43500	139.61300	296.99400	303.29500	-97.31650	-161.72300	-181.48400	120.89800	101.56500	159.81100	-170.46800	-79.13200	-182.99400	169.74600	22.08320	144.74300
-999.70300	-90.40640	-263.45200	-243.40400	139.61600	297.00300	303.30400	-97.30410	-161.71300	-181.46700	120.90800	101.58200	159.83000	-170.45100	-79.12980	-182.98000	169.76400	22.09130	144.76200
-999.60300	-90.39220	-263.42200	-243.37300	139.61900	297.01300	303.31300	-97.29180	-161.70200	-181.45100	120.91800	101.59900	159.84900	-170.43400	-79.12750	-182.96500	169.78100	22.09940	144.78000
-999.50300	-90.37790	-263.39100	-243.34200	139.62300	297.02200	303.32200	-97.27940	-161.69200	-181.43500	120.92800	101.61500	159.86700	-170.41600	-79.12530	-182.95000	169.79900	22.10750	144.79900
-999.40300	-90.36360	-263.36100	-243.31100	139.62600	297.03200	303.33100	-97.26700	-161.68100	-181.41800	120.93800	101.63200	159.88600	-170.39900	-79.12300	-182.93500	169.81600	22.11560	144.81800
-999.30300	-90.34930	-263.33100	-243.28000	139.62900	297.04200	303.34000	-97.25470	-161.67100	-181.40200	120.94800	101.64900	159.90500	-170.38200	-79.12070	-182.92000	169.83400	22.12370	144.83600
-999.20300	-90.33500	-263.30000	-243.24900	139.63300	297.05100	303.34900	-97.24230	-161.66100	-181.38600	120.95800	101.66600	159.92400	-170.36400	-79.11850	-182.90600	169.85100	22.13180	144.85500
-999.10300	-90.32070	-263.27000	-243.21700	139.63600	297.06100	303.35800	-97.22990	-161.65000	-181.36900	120.96800	101.68200	159.94200	-170.34700	-79.11620	-182.89100	169.86800	22.13990	144.87400
-999.00300	-90.30650	-263.24000	-243.18600	139.63900	297.07100	303.36700	-97.21750	-161.64000	-181.35300	120.97800	101.69900	159.96100	-170.32900	-79.11390	-182.87600	169.88600	22.14800	144.89300
-998.90300	-90.29220	-263.20900	-243.15500	139.64300	297.08000	303.37600	-97.20520	-161.62900	-181.33600	120.98800	101.71600	159.98000	-170.31200	-79.11170	-182.86100	169.90300	22.15610	144.91100
-998.80300	-90.27790	-263.17900	-243.12400	139.64600	297.09000	303.38500	-97.19280	-161.61900	-181.32000	120.99800	101.73200	159.99900	-170.29500	-79.10940	-182.84600	169.92100	22.16420	144.93000
-998.70300	-90.26360	-263.14800	-243.09300	139.64900	297.10000	303.39400	-97.18040	-161.60900	-181.30400	121.00800	101.74900	160.01700	-170.27700	-79.10710	-182.83200	169.93800	22.17240	144.94900
-998.60300	-90.24930	-263.11800	-243.06200	139.65200	297.10900	303.40300	-97.16800	-161.59800	-181.28700	121.01800	101.76600	160.03600	-170.26000	-79.10490	-182.81700	169.95600	22.18050	144.96800
-998.50300	-90.23510	-263.08800	-243.03100	139.65600	297.11900	303.41100	-97.15570	-161.58800	-181.27100	121.02800	101.78200	160.05500	-170.24300	-79.10260	-182.80200	169.97300	22.18860	144.98700
-998.40300	-90.22080	-263.05700	-243.00000	139.65900	297.12900	303.42000	-97.14330	-161.57700	-181.25500	121.03800	101.79900	160.07400	-170.22500	-79.10030	-182.78700	169.99100	22.19670	145.00500
-998.30300	-90.20650	-263.02700	-242.96900	139.66200	297.13900	303.42900	-97.13090	-161.56700	-181.23800	121.04800	101.81600	160.09200	-170.20800	-79.09810	-182.77200	170.00800	22.20480	145.02400
-998.20300	-90.19220	-262.99600	-242.93800	139.66600	297.14800	303.43800	-97.11850	-161.55700	-181.22200	121.05800	101.83300	160.11100	-170.19000	-79.09580	-182.75700	170.02600	22.21300	145.04300
-998.10300	-90.17790	-262.96600	-242.90700	139.66900	297.15800	303.44700	-97.10610	-161.54600	-181.20500	121.06900	101.84900	160.13000	-170.17300	-79.09350	-182.74300	170.04300	22.22110	145.06200
-998.00300	-90.16370	-262.93600	-242.87600	139.67200	297.16800	303.45600	-97.09380	-161.53600	-181.18900	121.07900	101.86600	160.14900	-170.15600	-79.09120	-182.72800	170.06100	22.22920	145.08000
-997.90300	-90.14940	-262.90500	-242.84500	139.67600	297.17700	303.46500	-97.08140	-161.52500	-181.17300	121.08900	101.88300	160.16700	-170.13800	-79.08900	-182.71300	170.07800	22.23740	145.09900
-997.80300	-90.13510	-262.87500	-242.81400	139.67900	297.18700	303.47400	-97.06900	-161.51500	-181.15600	121.09900	101.89900	160.18600	-170.12100	-79.08670	-182.69800	170.09600	22.24550	145.11800
-997.70300	-90.12080	-262.84500	-242.78300	139.68200	297.19700	303.48300	-97.05660	-161.50400	-181.14000	121.10900	101.91600	160.20500	-170.10400	-79.08440	-182.68300	170.11300	22.25360	145.13700
-997.60300	-90.10650	-262.81400	-242.75200	139.68600	297.20600	303.49200	-97.04420	-161.49400	-181.12400	121.11900	101.93300	160.22400	-170.08600	-79.08210	-182.66800	170.13100	22.26180	145.15600
-997.50300	-90.09220	-262.78400	-242.72100	139.68900	297.21600	303.50100	-97.03180	-161.48400	-181.10700	121.12900	101.95000	160.24200	-170.06900	-79.07990	-182.65300	170.14800	22.26990	145.17400
-997.40400	-90.07800	-262.75400	-242.69000	139.69200	297.22600	303.51000	-97.01950	-161.47300	-181.09100	121.13900	101.96600	160.26100	-170.05100	-79.07760	-182.63900	170.16600	22.27810	145.19300
-997.30400	-90.06370	-262.72300	-242.65900	139.69600	297.23500	303.51900	-97.00710	-161.46300	-181.07400	121.14900	101.98300	160.28000	-170.03400	-79.07530	-182.62400	170.18300	22.28620	145.21200
-997.20400	-90.04940	-262.69300	-242.62800	139.69900	297.24500	303.52800	-96.99470	-161.45200	-181.05800	121.15900	102.00000	160.29900	-170.01600	-79.07300	-182.60900	170.20100	22.29440	145.23100
-997.10400	-90.03510	-262.66200	-242.59700	139.70200	297.25500	303.53700	-96.98230	-161.44200	-181.04200	121.16900	102.01700	160.31800	-169.99900	-79.07070	-182.59400	170.21800	22.30250	145.25000
-997.00400	-90.02080	-262.63200	-242.56600	139.70600	297.26500	303.54600	-96.96990	-161.43100	-181.02500	121.17900	102.03300	160.33600	-169.98200	-79.06850	-182.57900	170.23600	22.31060	145.26800
-996.90400	-90.00660	-262.60200	-242.53500	139.70900	297.27400	303.55500	-96.95750	-161.42100	-181.00900	121.18900	102.05000	160.35500	-169.96400	-79.06620	-182.56400	170.25300	22.31880	145.28700
-996.80400	-89.99230	-262.57100	-242.50400	139.71200	297.28400	303.56400	-96.94510	-161.41100	-180.99200	121.19900	102.06700	160.37400	-169.94700	-79.06390	-182.55000	170.27100	22.32700	145.30600
-996.70400	-89.97800	-262.54100	-242.47300	139.71600	297.29400	303.57300	-96.93270	-161.40000	-180.97600	121.20900	102.08400	160.39300	-169.92900	-79.06160	-182.53500	170.28800	22.33510	145.32500
-996.60400	-89.96370	-262.51000	-242.44200	139.71900	297.30400	303.58200	-96.92030	-161.39000	-180.96000	121.21900	102.10100	160.41200	-169.91200	-79.05930	-182.52000	170.30600	22.34330	145.34400
-996.50400	-89.94940	-262.48000	-242.41100	139.72200	297.31300	303.59100	-96.90790	-161.37900	-180.94300	121.23000	102.11700	160.43000	-169.89500	-79.05710	-182.50500	170.32400	22.35140	145.36300
-996.40400	-89.93510	-262.45000	-242.38000	139.72600	297.32300	303.60000	-96.89550	-161.36900	-180.92700	121.24000	102.13400	160.44900	-169.87700	-79.05480	-182.49000	170.34100	22.35960	145.38100
-996.30400	-89.92080	-262.41900	-242.34800	139.72900	297.33300	303.60900	-96.88310	-161.35800	-180.91000	121.25000	102.15100	160.46800	-169.86000	-79.05250	-182.47500	170.35900	22.36780	145.40000
-996.20400	-89.90650	-262.38900	-242.31700	139.73200	297.34200	303.61800	-96.87070	-161.34800	-180.89400	121.26000	102.16800	160.48700	-169.84200	-79.05020	-182.46000	170.37600	22.37590	145.41900
-996.10400	-89.89220	-262.35800	-242.28600	139.73600	297.35200	303.62700	-96.85830	-161.33700	-180.87800	121.27000	102.18400	160.50600	-169.82500	-79.04790	-182.44500	170.39400	22.38410	145.43800
-996.00400	-89.87790	-262.32800	-242.25500	139.73900	297.36200	303.63600	-96.84590	-161.32700	-180.86100	121.28000	102.20100	160.52400	-169.80700	-79.04560	-182.43100	170.41100	22.39230	145.45700
-995.90400	-89.86360	-262.29700	-242.22400	139.74200	297.37200	303.64500	-96.83350	-161.31700	-180.84500	121.29000	102.21800	160.54300	-169.79000	-79.04330	-182.41600	170.42900	22.40040	145.47600
-995.80400	-89.84930	-262.26700	-242.19300	139.74600	297.38100	303.65400	-96.82110	-161.30600	-180.82800	121.30000	102.23500	160.56200	-169.77300	-79.04100	-182.40100	170.44600	22.40860	145.49500
-995.70400	-89.83500	-262.23700	-242.16200	139.74900	297.39100	303.66300	-96.80870	-161.29600	-180.81200	121.31000	102.25200	160.58100	-169.75500	-79.03870	-182.38600	170.46400	22.41680	145.51300
-995.60400	-89.82070	-262.20600	-242.13100	139.75200	297.40100	303.67200	-96.79630	-161.28500	-180.79600	121.32000	102.26800	160.60000	-169.73800	-79.03640	-182.37100	170.48100	22.42490	145.53200
-995.50400	-89.80640	-262.17600	-242.10000	139.75600	297.41100	303.68100	-96.78390	-161.27500	-180.77900	121.33000	102.28500	160.61900	-169.72000	-79.03410	-182.35600	170.49900	22.43310	145.55100
-995.40400	-89.79210	-262.14500	-242.06900	139.75900	297.42000	303.69000	-96.77150	-161.26400	-180.76300	121.34000	102.30200	160.63700	-169.70300	-79.03190	-182.34100	170.51700	22.44130	145.57000
-995.30400	-89.77790	-262.11500	-242.03800	139.76200	297.43000	303.69900	-96.75910	-161.25400	-180.74600	121.35100	102.31900	160.65600	-169.68500	-79.02960	-182.32600	170.53400	22.44950	145.58900
-995.20400	-89.76360	-262.08400	-242.00700	139.76600	297.44000	303.70800	-96.74670	-161.24300	-180.73000	121.36100	102.33600	160.67500	-169.66800	-79.02730	-182.31200	170.55200	22.45770	145.60800
-995.10400	-89.74930	-262.05400	-241.97600	139.76900	297.45000	303.71700	-96.73420	-161.23300	-180.71300	121.37100	102.35200	160.69400	-169.65100	-79.02500	-182.29700	170.56900	22.46590	145.62700
-995.00400	-89.73500	-262.02400	-241.94500	139.77200	297.45900	303.72600	-96.72180	-161.22200	-180.69700	121.38100	102.36900	160.71300	-169.63300	-79.02270	-182.28200	170.58700	22.47400	145.64600
-994.90400	-89.72070	-261.99300	-241.91400	139.77600	297.46900	303.73500	-96.70940	-161.21200	-180.68000	121.39100	102.38600	160.73200	-169.61600	-79.02040	-182.26700	170.60400	22.48220	145.66400
-994.80400	-89.70640	-261.96300	-241.88300	139.77900	297.47900	303.74400	-96.69700	-161.20200	-180.66400	121.40100	102.40300	160.75100	-169.59800	-79.01810	-182.25200	170.62200	22.49040	145.68300
-994.70400	-89.69210	-261.93200	-241.85100	139.78200	297.48900	303.75300	-96.68460	-161.19100	-180.64800	121.41100	102.42000	160.76900	-169.58100	-79.01580	-182.23700	170.64000	22.49860	145.70200
-994.60400	-89.67780	-261.90200	-241.82000	139.78600	297.49900	303.76200	-96.67220	-161.18100	-180.63100	121.42100	102.43700	160.78800	-169.56300	-79.01350	-182.22200	170.65700	22.50680	145.72100
-994.50400	-89.66350	-261.87100	-241.78900	139.78900	297.50800	303.77100	-96.65970	-161.17000	-180.61500	121.43100	102.45300	160.80700	-169.54600	-79.01120	-182.20700	170.67500	22.51500	145.74000
