time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-118.38000	-124.31700	-38.61220	404.66100	373.91700	197.61700	-102.43700	-97.69630	-46.11590	302.81100	231.34400	210.18900	-100.60300	-57.64940	-94.52930	268.33400	95.26550	327.34800
-999.90300	-118.33800	-124.27900	-38.59200	404.70100	373.95900	197.63100	-102.40600	-97.67260	-46.09440	302.86800	231.39900	210.21500	-100.57600	-57.63960	-94.49580	268.39000	95.29730	327.40000
-999.80300	-118.29700	-124.24100	-38.57180	404.74100	374.00100	197.64400	-102.37500	-97.64890	-46.07290	302.92500	231.45300	210.24000	-100.54800	-57.62990	-94.46240	268.44500	95.32920	327.45200
-999.70300	-118.25600	-124.20300	-38.55160	404.78100	374.04300	197.65700	-102.34400	-97.62520	-46.05140	302.98200	231.50800	210.26600	-100.52100	-57.62010	-94.42890	268.50100	95.36100	327.50400
-999.60300	-118.21400	-124.16400	-38.53140	404.82100	374.08500	197.67000	-102.31300	-97.60160	-46.02990	303.04000	231.56200	210.29200	-100.49400	-57.61040	-94.39540	268.55700	95.39290	327.55600
-999.50300	-118.17300	-124.12600	-38.51120	404.86200	374.12800	197.68300	-102.28200	-97.57790	-46.00840	303.09700	231.61700	210.31800	-100.46600	-57.60060	-94.36190	268.61200	95.42480	327.60900
-999.40300	-118.13100	-124.08800	-38.49100	404.90200	374.17000	197.69600	-102.25100	-97.55420	-45.98690	303.15400	231.67200	210.34400	-100.43900	-57.59090	-94.32840	268.66800	95.45670	327.66100
-999.30300	-118.09000	-124.05000	-38.47070	404.94200	374.21200	197.70900	-102.22000	-97.53050	-45.96530	303.21200	231.72600	210.36900	-100.41100	-57.58110	-94.29490	268.72400	95.48870	327.71300
-999.20300	-118.04900	-124.01100	-38.45050	404.98200	374.25500	197.72200	-102.18900	-97.50680	-45.94380	303.26900	231.78100	210.39500	-100.38400	-57.57130	-94.26130	268.77900	95.52070	327.76600
-999.10300	-118.00700	-123.97300	-38.43030	405.02300	374.29700	197.73500	-102.15800	-97.48310	-45.92230	303.32600	231.83600	210.42100	-100.35600	-57.56160	-94.22780	268.83500	95.55270	327.81800
-999.00300	-117.96600	-123.93500	-38.41010	405.06300	374.33900	197.74800	-102.12700	-97.45940	-45.90080	303.38400	231.89100	210.44700	-100.32900	-57.55180	-94.19430	268.89100	95.58470	327.87000
-998.90300	-117.92400	-123.89700	-38.38990	405.10300	374.38200	197.76200	-102.09600	-97.43560	-45.87930	303.44100	231.94600	210.47300	-100.30100	-57.54200	-94.16080	268.94700	95.61670	327.92300
-998.80300	-117.88300	-123.85800	-38.36960	405.14400	374.42400	197.77500	-102.06500	-97.41190	-45.85770	303.49900	232.00100	210.49800	-100.27400	-57.53220	-94.12720	269.00300	95.64880	327.97500
-998.70300	-117.84100	-123.82000	-38.34940	405.18400	374.46700	197.78800	-102.03400	-97.38820	-45.83620	303.55700	232.05600	210.52400	-100.24600	-57.52240	-94.09370	269.05900	95.68090	328.02800
-998.60300	-117.80000	-123.78200	-38.32920	405.22400	374.50900	197.80100	-102.00300	-97.36450	-45.81470	303.61400	232.11100	210.55000	-100.21900	-57.51270	-94.06010	269.11500	95.71300	328.08000
-998.50300	-117.75800	-123.74300	-38.30890	405.26500	374.55200	197.81400	-101.97200	-97.34070	-45.79310	303.67200	232.16600	210.57600	-100.19100	-57.50290	-94.02660	269.17100	95.74510	328.13300
-998.40300	-117.71700	-123.70500	-38.28870	405.30500	374.59400	197.82700	-101.94100	-97.31700	-45.77160	303.72900	232.22100	210.60200	-100.16400	-57.49310	-93.99300	269.22700	95.77730	328.18500
-998.30300	-117.67600	-123.66700	-38.26850	405.34600	374.63700	197.84100	-101.91000	-97.29320	-45.75010	303.78700	232.27600	210.62800	-100.13600	-57.48330	-93.95940	269.28300	95.80950	328.23800
-998.20300	-117.63400	-123.62800	-38.24820	405.38600	374.67900	197.85400	-101.87900	-97.26950	-45.72850	303.84500	232.33100	210.65400	-100.10800	-57.47350	-93.92590	269.33900	95.84170	328.29100
-998.10300	-117.59300	-123.59000	-38.22800	405.42700	374.72200	197.86700	-101.84800	-97.24570	-45.70700	303.90300	232.38600	210.68000	-100.08100	-57.46370	-93.89230	269.39500	95.87390	328.34300
-998.00300	-117.55100	-123.55200	-38.20780	405.46800	374.76500	197.88000	-101.81700	-97.22190	-45.68540	303.96000	232.44100	210.70600	-100.05300	-57.45390	-93.85870	269.45100	95.90620	328.39600
-997.90300	-117.51000	-123.51300	-38.18750	405.50800	374.80700	197.89300	-101.78500	-97.19820	-45.66390	304.01800	232.49600	210.73200	-100.02600	-57.44410	-93.82510	269.50700	95.93840	328.44900
-997.80300	-117.46800	-123.47500	-38.16730	405.54900	374.85000	197.90600	-101.75400	-97.17440	-45.64230	304.07600	232.55200	210.75800	-99.99820	-57.43420	-93.79150	269.56400	95.97070	328.50100
-997.70300	-117.42700	-123.43700	-38.14700	405.59000	374.89300	197.92000	-101.72300	-97.15060	-45.62080	304.13400	232.60700	210.78400	-99.97060	-57.42440	-93.75790	269.62000	96.00300	328.55400
-997.60300	-117.38500	-123.39800	-38.12680	405.63000	374.93600	197.93300	-101.69200	-97.12680	-45.59920	304.19200	232.66200	210.81000	-99.94310	-57.41460	-93.72430	269.67600	96.03540	328.60700
-997.50300	-117.34400	-123.36000	-38.10660	405.67100	374.97800	197.94600	-101.66100	-97.10300	-45.57760	304.25000	232.71800	210.83500	-99.91550	-57.40480	-93.69070	269.73200	96.06770	328.66000
-997.40400	-117.30200	-123.32200	-38.08630	405.71200	375.02100	197.95900	-101.63000	-97.07920	-45.55610	304.30800	232.77300	210.86200	-99.88790	-57.39500	-93.65710	269.78900	96.10010	328.71300
-997.30400	-117.26100	-123.28300	-38.06610	405.75200	375.06400	197.97300	-101.59900	-97.05540	-45.53450	304.36600	232.82900	210.88800	-99.86030	-57.38510	-93.62350	269.84500	96.13250	328.76600
-997.20400	-117.21900	-123.24500	-38.04580	405.79300	375.10700	197.98600	-101.56800	-97.03160	-45.51290	304.42400	232.88400	210.91400	-99.83270	-57.37530	-93.58980	269.90200	96.16500	328.81900
-997.10400	-117.17800	-123.20700	-38.02560	405.83400	375.15000	197.99900	-101.53700	-97.00780	-45.49140	304.48200	232.93900	210.94000	-99.80510	-57.36550	-93.55620	269.95800	96.19740	328.87100
-997.00400	-117.13600	-123.16800	-38.00530	405.87500	375.19300	198.01200	-101.50500	-96.98390	-45.46980	304.54000	232.99500	210.96600	-99.77750	-57.35560	-93.52260	270.01500	96.22990	328.92400
-996.90400	-117.09500	-123.13000	-37.98510	405.91600	375.23600	198.02600	-101.47400	-96.96010	-45.44820	304.59800	233.05100	210.99200	-99.74990	-57.34580	-93.48890	270.07100	96.26240	328.97700
-996.80400	-117.05300	-123.09200	-37.96480	405.95700	375.27900	198.03900	-101.44300	-96.93630	-45.42660	304.65700	233.10600	211.01800	-99.72220	-57.33590	-93.45530	270.12800	96.29490	329.03000
