time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-48.05050	3.27735	-422.87900	88.24800	-6.01882	481.13100	-86.67580	5.91132	-251.64100	109.09100	-7.43994	158.37600	-182.64300	12.45610	-193.81900	164.08200	-11.19030	98.98010
-999.90300	-48.04150	3.27674	-422.83000	88.24920	-6.01890	481.14100	-86.66460	5.91056	-251.62400	109.09900	-7.44052	158.40000	-182.62700	12.45490	-193.80900	164.10000	-11.19150	98.99900
-999.80300	-48.03250	3.27612	-422.78100	88.25030	-6.01898	481.15100	-86.65350	5.90980	-251.60800	109.10800	-7.44110	158.42500	-182.61000	12.45380	-193.79800	164.11800	-11.19270	99.01790
-999.70300	-48.02340	3.27551	-422.73200	88.25150	-6.01906	481.16100	-86.64230	5.90904	-251.59200	109.11600	-7.44168	158.45000	-182.59300	12.45260	-193.78800	164.13600	-11.19390	99.03680
-999.60300	-48.01440	3.27489	-422.68200	88.25260	-6.01914	481.17100	-86.63110	5.90828	-251.57600	109.12500	-7.44226	158.47400	-182.57600	12.45150	-193.77800	164.15300	-11.19520	99.05570
-999.50300	-48.00540	3.27427	-422.63300	88.25380	-6.01921	481.18200	-86.62000	5.90752	-251.56000	109.13300	-7.44284	158.49900	-182.55900	12.45030	-193.76800	164.17100	-11.19640	99.07460
-999.40300	-47.99640	3.27366	-422.58400	88.25490	-6.01929	481.19200	-86.60880	5.90676	-251.54300	109.14200	-7.44342	158.52400	-182.54300	12.44920	-193.75800	164.18900	-11.19760	99.09350
-999.30300	-47.98730	3.27304	-422.53500	88.25610	-6.01937	481.20200	-86.59770	5.90600	-251.52700	109.15000	-7.44400	158.54800	-182.52600	12.44810	-193.74800	164.20700	-11.19880	99.11240
-999.20300	-47.97830	3.27243	-422.48600	88.25730	-6.01945	481.21200	-86.58650	5.90524	-251.51100	109.15900	-7.44458	158.57300	-182.50900	12.44690	-193.73800	164.22500	-11.20000	99.13140
-999.10300	-47.96930	3.27181	-422.43600	88.25840	-6.01953	481.22200	-86.57530	5.90448	-251.49500	109.16700	-7.44516	158.59800	-182.49200	12.44580	-193.72800	164.24200	-11.20120	99.15030
-999.00300	-47.96030	3.27120	-422.38700	88.25960	-6.01961	481.23300	-86.56420	5.90371	-251.47900	109.17600	-7.44574	158.62300	-182.47500	12.44460	-193.71700	164.26000	-11.20250	99.16920
-998.90300	-47.95120	3.27058	-422.33800	88.26070	-6.01969	481.24300	-86.55300	5.90295	-251.46200	109.18400	-7.44632	158.64700	-182.45900	12.44350	-193.70700	164.27800	-11.20370	99.18810
-998.80300	-47.94220	3.26996	-422.28900	88.26190	-6.01977	481.25300	-86.54180	5.90219	-251.44600	109.19300	-7.44690	158.67200	-182.44200	12.44230	-193.69700	164.29600	-11.20490	99.20710
-998.70300	-47.93320	3.26935	-422.24000	88.26300	-6.01985	481.26300	-86.53070	5.90143	-251.43000	109.20100	-7.44748	158.69700	-182.42500	12.44120	-193.68700	164.31400	-11.20610	99.22600
-998.60300	-47.92420	3.26873	-422.19000	88.26420	-6.01992	481.27300	-86.51950	5.90067	-251.41400	109.21000	-7.44806	158.72200	-182.40800	12.44000	-193.67700	164.33200	-11.20730	99.24490
-998.50300	-47.91510	3.26812	-422.14100	88.26540	-6.02000	481.28400	-86.50830	5.89991	-251.39700	109.21800	-7.44864	158.74600	-182.39100	12.43890	-193.66700	164.34900	-11.20850	99.26390
-998.40300	-47.90610	3.26750	-422.09200	88.26650	-6.02008	481.29400	-86.49720	5.89914	-251.38100	109.22700	-7.44922	158.77100	-182.37500	12.43770	-193.65600	164.36700	-11.20980	99.28280
-998.30300	-47.89710	3.26689	-422.04300	88.26770	-6.02016	481.30400	-86.48600	5.89838	-251.36500	109.23500	-7.44980	158.79600	-182.35800	12.43660	-193.64600	164.38500	-11.21100	99.30170
-998.20300	-47.88810	3.26627	-421.99300	88.26880	-6.02024	481.31400	-86.47480	5.89762	-251.34900	109.24400	-7.45038	158.82100	-182.34100	12.43540	-193.63600	164.40300	-11.21220	99.32070
-998.10300	-47.87900	3.26565	-421.94400	88.27000	-6.02032	481.32400	-86.46360	5.89686	-251.33200	109.25200	-7.45096	158.84500	-182.32400	12.43430	-193.62600	164.42100	-11.21340	99.33960
