time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-137.49800	-263.28500	-128.80400	224.60200	360.27200	215.53000	-120.55400	-174.83300	-117.05000	160.31100	154.96400	161.34700	-156.69600	-90.61120	-162.18000	185.70800	47.74340	196.59100
-999.90300	-137.47500	-263.24800	-128.78200	224.60900	360.28700	215.53700	-120.53800	-174.81700	-117.03300	160.32700	154.98700	161.36300	-156.67700	-90.60630	-162.16000	185.72800	47.75510	196.61200
-999.80300	-137.45200	-263.21100	-128.76000	224.61700	360.30100	215.54400	-120.52100	-174.80100	-117.01700	160.34200	155.01000	161.37800	-156.65800	-90.60140	-162.14000	185.74800	47.76680	196.63300
-999.70300	-137.42900	-263.17400	-128.73800	224.62400	360.31500	215.55100	-120.50500	-174.78500	-117.00000	160.35800	155.03200	161.39300	-156.63900	-90.59650	-162.12000	185.76800	47.77840	196.65400
-999.60300	-137.40600	-263.13700	-128.71600	224.63200	360.33000	215.55800	-120.48900	-174.76900	-116.98400	160.37300	155.05500	161.40800	-156.62000	-90.59170	-162.10000	185.78900	47.79010	196.67400
-999.50300	-137.38400	-263.10000	-128.69400	224.63900	360.34400	215.56500	-120.47200	-174.75400	-116.96700	160.38900	155.07800	161.42300	-156.60100	-90.58680	-162.08000	185.80900	47.80180	196.69500
-999.40300	-137.36100	-263.06400	-128.67200	224.64700	360.35900	215.57200	-120.45600	-174.73800	-116.95100	160.40500	155.10000	161.43900	-156.58200	-90.58190	-162.06000	185.82900	47.81350	196.71600
-999.30300	-137.33800	-263.02700	-128.65000	224.65400	360.37300	215.57900	-120.43900	-174.72200	-116.93400	160.42000	155.12300	161.45400	-156.56300	-90.57700	-162.03900	185.84900	47.82510	196.73700
-999.20300	-137.31500	-262.99000	-128.62800	224.66200	360.38700	215.58600	-120.42300	-174.70600	-116.91800	160.43600	155.14600	161.46900	-156.54400	-90.57210	-162.01900	185.86900	47.83680	196.75800
-999.10300	-137.29200	-262.95300	-128.60600	224.67000	360.40200	215.59300	-120.40700	-174.69000	-116.90100	160.45200	155.16800	161.48400	-156.52500	-90.56720	-161.99900	185.88900	47.84850	196.77900
-999.00300	-137.26900	-262.91600	-128.58400	224.67700	360.41600	215.60000	-120.39000	-174.67400	-116.88500	160.46700	155.19100	161.49900	-156.50600	-90.56230	-161.97900	185.91000	47.86020	196.80000
-998.90300	-137.24600	-262.87900	-128.56200	224.68500	360.43100	215.60700	-120.37400	-174.65800	-116.86800	160.48300	155.21400	161.51500	-156.48700	-90.55740	-161.95900	185.93000	47.87190	196.82100
-998.80300	-137.22300	-262.84200	-128.54000	224.69200	360.44500	215.61400	-120.35700	-174.64300	-116.85200	160.49900	155.23700	161.53000	-156.46800	-90.55250	-161.93900	185.95000	47.88360	196.84200
-998.70300	-137.20000	-262.80500	-128.51700	224.70000	360.45900	215.62100	-120.34100	-174.62700	-116.83500	160.51400	155.25900	161.54500	-156.44900	-90.54760	-161.91900	185.97000	47.89530	196.86300
-998.60300	-137.17700	-262.76900	-128.49500	224.70700	360.47400	215.62800	-120.32500	-174.61100	-116.81900	160.53000	155.28200	161.56000	-156.43000	-90.54270	-161.89900	185.99100	47.90700	196.88400
-998.50300	-137.15400	-262.73200	-128.47300	224.71500	360.48800	215.63500	-120.30800	-174.59500	-116.80200	160.54600	155.30500	161.57600	-156.41100	-90.53780	-161.87800	186.01100	47.91870	196.90400
-998.40300	-137.13100	-262.69500	-128.45100	224.72200	360.50300	215.64200	-120.29200	-174.57900	-116.78600	160.56200	155.32800	161.59100	-156.39100	-90.53290	-161.85800	186.03100	47.93040	196.92500
-998.30300	-137.10800	-262.65800	-128.42900	224.73000	360.51700	215.65000	-120.27500	-174.56300	-116.76900	160.57700	155.35000	161.60600	-156.37200	-90.52800	-161.83800	186.05100	47.94210	196.94600
-998.20300	-137.08500	-262.62100	-128.40700	224.73700	360.53200	215.65700	-120.25900	-174.54700	-116.75300	160.59300	155.37300	161.62100	-156.35300	-90.52310	-161.81800	186.07200	47.95390	196.96700
-998.10300	-137.06200	-262.58400	-128.38500	224.74500	360.54600	215.66400	-120.24200	-174.53100	-116.73600	160.60900	155.39600	161.63700	-156.33400	-90.51820	-161.79800	186.09200	47.96560	196.98800
-998.00300	-137.03900	-262.54700	-128.36300	224.75200	360.56100	215.67100	-120.22600	-174.51500	-116.71900	160.62400	155.41900	161.65200	-156.31500	-90.51330	-161.77800	186.11200	47.97730	197.00900
-997.90300	-137.01600	-262.51000	-128.34100	224.76000	360.57500	215.67800	-120.21000	-174.50000	-116.70300	160.64000	155.44200	161.66700	-156.29600	-90.50840	-161.75800	186.13200	47.98900	197.03000
-997.80300	-136.99300	-262.47400	-128.31900	224.76800	360.59000	215.68500	-120.19300	-174.48400	-116.68600	160.65600	155.46400	161.68200	-156.27700	-90.50350	-161.73700	186.15300	48.00080	197.05100
-997.70300	-136.97000	-262.43700	-128.29700	224.77500	360.60400	215.69200	-120.17700	-174.46800	-116.67000	160.67100	155.48700	161.69800	-156.25800	-90.49860	-161.71700	186.17300	48.01250	197.07200
-997.60300	-136.94700	-262.40000	-128.27500	224.78300	360.61800	215.69900	-120.16000	-174.45200	-116.65300	160.68700	155.51000	161.71300	-156.23900	-90.49370	-161.69700	186.19300	48.02430	197.09300
-997.50300	-136.92400	-262.36300	-128.25300	224.79000	360.63300	215.70600	-120.14400	-174.43600	-116.63700	160.70300	155.53300	161.72800	-156.22000	-90.48870	-161.67700	186.21300	48.03600	197.11400
-997.40400	-136.90100	-262.32600	-128.23100	224.79800	360.64700	215.71300	-120.12700	-174.42000	-116.62000	160.71900	155.55600	161.74300	-156.20100	-90.48380	-161.65700	186.23400	48.04770	197.13500
-997.30400	-136.87800	-262.28900	-128.20900	224.80500	360.66200	215.72000	-120.11100	-174.40400	-116.60400	160.73400	155.57900	161.75900	-156.18200	-90.47890	-161.63700	186.25400	48.05950	197.15600
-997.20400	-136.85500	-262.25200	-128.18700	224.81300	360.67600	215.72700	-120.09500	-174.38800	-116.58700	160.75000	155.60100	161.77400	-156.16300	-90.47400	-161.61600	186.27400	48.07120	197.17700
-997.10400	-136.83200	-262.21500	-128.16500	224.82000	360.69100	215.73400	-120.07800	-174.37200	-116.57100	160.76600	155.62400	161.78900	-156.14400	-90.46910	-161.59600	186.29400	48.08300	197.19800
-997.00400	-136.80900	-262.17900	-128.14200	224.82800	360.70500	215.74200	-120.06200	-174.35600	-116.55400	160.78100	155.64700	161.80400	-156.12500	-90.46420	-161.57600	186.31500	48.09480	197.21900
-996.90400	-136.78600	-262.14200	-128.12000	224.83600	360.72000	215.74900	-120.04500	-174.34000	-116.53800	160.79700	155.67000	161.82000	-156.10600	-90.45930	-161.55600	186.33500	48.10650	197.24000
-996.80400	-136.76300	-262.10500	-128.09800	224.84300	360.73400	215.75600	-120.02900	-174.32500	-116.52100	160.81300	155.69300	161.83500	-156.08700	-90.45430	-161.53600	186.35500	48.11830	197.26100
-996.70400	-136.74000	-262.06800	-128.07600	224.85100	360.74900	215.76300	-120.01200	-174.30900	-116.50400	160.82900	155.71600	161.85000	-156.06800	-90.44940	-161.51600	186.37600	48.13010	197.28200
-996.60400	-136.71700	-262.03100	-128.05400	224.85800	360.76400	215.77000	-119.99600	-174.29300	-116.48800	160.84400	155.73800	161.86500	-156.04900	-90.44450	-161.49500	186.39600	48.14180	197.30300
-996.50400	-136.69400	-261.99400	-128.03200	224.86600	360.77800	215.77700	-119.97900	-174.27700	-116.47100	160.86000	155.76100	161.88100	-156.03000	-90.43960	-161.47500	186.41600	48.15360	197.32400
-996.40400	-136.67100	-261.95700	-128.01000	224.87300	360.79300	215.78400	-119.96300	-174.26100	-116.45500	160.87600	155.78400	161.89600	-156.01100	-90.43460	-161.45500	186.43700	48.16540	197.34500
-996.30400	-136.64800	-261.92000	-127.98800	224.88100	360.80700	215.79100	-119.94700	-174.24500	-116.43800	160.89200	155.80700	161.91100	-155.99100	-90.42970	-161.43500	186.45700	48.17720	197.36600
-996.20400	-136.62500	-261.88300	-127.96600	224.88900	360.82200	215.79800	-119.93000	-174.22900	-116.42200	160.90700	155.83000	161.92700	-155.97200	-90.42480	-161.41500	186.47700	48.18900	197.38700
-996.10400	-136.60200	-261.84600	-127.94400	224.89600	360.83600	215.80500	-119.91400	-174.21300	-116.40500	160.92300	155.85300	161.94200	-155.95300	-90.41990	-161.39400	186.49800	48.20070	197.40800
-996.00400	-136.57900	-261.81000	-127.92200	224.90400	360.85100	215.81300	-119.89700	-174.19700	-116.38800	160.93900	155.87600	161.95700	-155.93400	-90.41490	-161.37400	186.51800	48.21250	197.42900
-995.90400	-136.55600	-261.77300	-127.90000	224.91100	360.86500	215.82000	-119.88100	-174.18100	-116.37200	160.95500	155.89900	161.97300	-155.91500	-90.41000	-161.35400	186.53800	48.22430	197.45000
-995.80400	-136.53300	-261.73600	-127.87800	224.91900	360.88000	215.82700	-119.86400	-174.16500	-116.35500	160.97100	155.92200	161.98800	-155.89600	-90.40510	-161.33400	186.55900	48.23610	197.47100
-995.70400	-136.51000	-261.69900	-127.85600	224.92700	360.89400	215.83400	-119.84800	-174.14900	-116.33900	160.98600	155.94500	162.00300	-155.87700	-90.40010	-161.31400	186.57900	48.24790	197.49300
-995.60400	-136.48700	-261.66200	-127.83300	224.93400	360.90900	215.84100	-119.83100	-174.13300	-116.32200	161.00200	155.96800	162.01800	-155.85800	-90.39520	-161.29400	186.59900	48.25970	197.51400
-995.50400	-136.46400	-261.62500	-127.81100	224.94200	360.92400	215.84800	-119.81500	-174.11700	-116.30600	161.01800	155.99000	162.03400	-155.83900	-90.39030	-161.27300	186.62000	48.27160	197.53500
-995.40400	-136.44100	-261.58800	-127.78900	224.94900	360.93800	215.85500	-119.79800	-174.10100	-116.28900	161.03400	156.01300	162.04900	-155.82000	-90.38530	-161.25300	186.64000	48.28340	197.55600
-995.30400	-136.41800	-261.55100	-127.76700	224.95700	360.95300	215.86200	-119.78200	-174.08500	-116.27300	161.04900	156.03600	162.06400	-155.80100	-90.38040	-161.23300	186.66000	48.29520	197.57700
-995.20400	-136.39500	-261.51400	-127.74500	224.96500	360.96700	215.87000	-119.76500	-174.06900	-116.25600	161.06500	156.05900	162.08000	-155.78200	-90.37540	-161.21300	186.68100	48.30700	197.59800
-995.10400	-136.37200	-261.47700	-127.72300	224.97200	360.98200	215.87700	-119.74900	-174.05400	-116.23900	161.08100	156.08200	162.09500	-155.76200	-90.37050	-161.19200	186.70100	48.31880	197.61900
-995.00400	-136.34900	-261.44000	-127.70100	224.98000	360.99700	215.88400	-119.73200	-174.03800	-116.22300	161.09700	156.10500	162.11000	-155.74300	-90.36560	-161.17200	186.72200	48.33070	197.64000
-994.90400	-136.32600	-261.40400	-127.67900	224.98700	361.01100	215.89100	-119.71600	-174.02200	-116.20600	161.11300	156.12800	162.12600	-155.72400	-90.36060	-161.15200	186.74200	48.34250	197.66100
-994.80400	-136.30300	-261.36700	-127.65700	224.99500	361.02600	215.89800	-119.70000	-174.00600	-116.19000	161.12800	156.15100	162.14100	-155.70500	-90.35570	-161.13200	186.76200	48.35430	197.68200
-994.70400	-136.28000	-261.33000	-127.63500	225.00300	361.04000	215.90500	-119.68300	-173.99000	-116.17300	161.14400	156.17400	162.15600	-155.68600	-90.35070	-161.11200	186.78300	48.36620	197.70300
-994.60400	-136.25700	-261.29300	-127.61300	225.01000	361.05500	215.91200	-119.66700	-173.97400	-116.15600	161.16000	156.19700	162.17200	-155.66700	-90.34580	-161.09100	186.80300	48.37800	197.72500
-994.50400	-136.23400	-261.25600	-127.59100	225.01800	361.07000	215.91900	-119.65000	-173.95800	-116.14000	161.17600	156.22000	162.18700	-155.64800	-90.34080	-161.07100	186.82400	48.38980	197.74600
-994.40400	-136.21100	-261.21900	-127.56900	225.02600	361.08400	215.92700	-119.63400	-173.94200	-116.12300	161.19200	156.24300	162.20300	-155.62900	-90.33590	-161.05100	186.84400	48.40170	197.76700
-994.30400	-136.18800	-261.18200	-127.54600	225.03300	361.09900	215.93400	-119.61700	-173.92600	-116.10700	161.20700	156.26600	162.21800	-155.61000	-90.33090	-161.03100	186.86400	48.41350	197.78800
-994.20400	-136.16500	-261.14500	-127.52400	225.04100	361.11300	215.94100	-119.60100	-173.91000	-116.09000	161.22300	156.28900	162.23300	-155.59100	-90.32600	-161.01000	186.88500	48.42540	197.80900
-994.10400	-136.14200	-261.10800	-127.50200	225.04800	361.12800	215.94800	-119.58400	-173.89400	-116.07400	161.23900	156.31200	162.24900	-155.57100	-90.32100	-160.99000	186.90500	48.43730	197.83000
-994.00400	-136.11900	-261.07100	-127.48000	225.05600	361.14300	215.95500	-119.56800	-173.87800	-116.05700	161.25500	156.33500	162.26400	-155.55200	-90.31610	-160.97000	186.92600	48.44910	197.85100
-993.90400	-136.09600	-261.03400	-127.45800	225.06400	361.15700	215.96200	-119.55100	-173.86200	-116.04000	161.27100	156.35800	162.27900	-155.53300	-90.31110	-160.95000	186.94600	48.46100	197.87200
-993.80400	-136.07300	-260.99700	-127.43600	225.07100	361.17200	215.96900	-119.53500	-173.84600	-116.02400	161.28700	156.38100	162.29500	-155.51400	-90.30620	-160.93000	186.96700	48.47290	197.89400
-993.70400	-136.05000	-260.96000	-127.41400	225.07900	361.18700	215.97700	-119.51800	-173.83000	-116.00700	161.30200	156.40400	162.31000	-155.49500	-90.30120	-160.90900	186.98700	48.48470	197.91500
-993.60400	-136.02700	-260.92300	-127.39200	225.08700	361.20100	215.98400	-119.50200	-173.81400	-115.99100	161.31800	156.42700	162.32500	-155.47600	-90.29620	-160.88900	187.00700	48.49660	197.93600
-993.50400	-136.00400	-260.88600	-127.37000	225.09400	361.21600	215.99100	-119.48500	-173.79800	-115.97400	161.33400	156.45000	162.34100	-155.45700	-90.29130	-160.86900	187.02800	48.50850	197.95700
-993.40400	-135.98100	-260.85000	-127.34800	225.10200	361.23100	215.99800	-119.46900	-173.78200	-115.95700	161.35000	156.47300	162.35600	-155.43800	-90.28630	-160.84900	187.04800	48.52040	197.97800
-993.30500	-135.95800	-260.81300	-127.32600	225.11000	361.24500	216.00500	-119.45200	-173.76600	-115.94100	161.36600	156.49600	162.37200	-155.41800	-90.28130	-160.82800	187.06900	48.53220	197.99900
-993.20500	-135.93500	-260.77600	-127.30300	225.11700	361.26000	216.01200	-119.43600	-173.75000	-115.92400	161.38200	156.51900	162.38700	-155.39900	-90.27640	-160.80800	187.08900	48.54410	198.02100
-993.10500	-135.91200	-260.73900	-127.28100	225.12500	361.27500	216.02000	-119.41900	-173.73400	-115.90800	161.39800	156.54300	162.40200	-155.38000	-90.27140	-160.78800	187.11000	48.55600	198.04200
-993.00500	-135.88900	-260.70200	-127.25900	225.13300	361.28900	216.02700	-119.40300	-173.71800	-115.89100	161.41300	156.56600	162.41800	-155.36100	-90.26650	-160.76800	187.13000	48.56790	198.06300
