time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-367.71100	-223.45200	295.30100	427.45400	242.24500	-307.92900	-326.90900	-170.83100	206.35700	348.23800	162.72300	-180.95400	-399.76500	-119.33200	71.53740	409.25700	106.42100	-41.45330
-999.90300	-367.66700	-223.42800	295.27000	427.45900	242.24800	-307.93300	-326.87400	-170.81400	206.33800	348.24600	162.72700	-180.95900	-399.72300	-119.32100	71.53320	409.26700	106.42400	-41.45510
-999.80300	-367.62300	-223.40300	295.23800	427.46400	242.25100	-307.93700	-326.83800	-170.79800	206.32000	348.25400	162.73100	-180.96400	-399.68100	-119.31000	71.52890	409.27600	106.42700	-41.45680
-999.70300	-367.58000	-223.37800	295.20700	427.46900	242.25400	-307.94100	-326.80200	-170.78100	206.30100	348.26200	162.73500	-180.96900	-399.63900	-119.29900	71.52470	409.28600	106.43000	-41.45850
-999.60300	-367.53600	-223.35300	295.17500	427.47300	242.25700	-307.94500	-326.76700	-170.76400	206.28300	348.27000	162.74000	-180.97400	-399.59700	-119.28800	71.52050	409.29600	106.43300	-41.46030
-999.50300	-367.49200	-223.32800	295.14400	427.47800	242.26000	-307.94900	-326.73100	-170.74800	206.26400	348.27800	162.74400	-180.97900	-399.55500	-119.27800	71.51620	409.30500	106.43600	-41.46200
-999.40300	-367.44900	-223.30400	295.11200	427.48300	242.26300	-307.95200	-326.69600	-170.73100	206.24600	348.28600	162.74800	-180.98400	-399.51300	-119.26700	71.51200	409.31500	106.43900	-41.46380
-999.30300	-367.40500	-223.27900	295.08100	427.48800	242.26600	-307.95600	-326.66000	-170.71400	206.22700	348.29400	162.75200	-180.98900	-399.47200	-119.25600	71.50780	409.32500	106.44200	-41.46550
-999.20300	-367.36100	-223.25400	295.04900	427.49300	242.26900	-307.96000	-326.62400	-170.69800	206.20900	348.30200	162.75700	-180.99400	-399.43000	-119.24500	71.50350	409.33500	106.44500	-41.46730
-999.10300	-367.31700	-223.22900	295.01800	427.49700	242.27100	-307.96400	-326.58900	-170.68100	206.19000	348.31000	162.76100	-180.99900	-399.38800	-119.23400	71.49930	409.34500	106.44700	-41.46900
-999.00300	-367.27400	-223.20500	294.98600	427.50200	242.27400	-307.96800	-326.55300	-170.66500	206.17200	348.31800	162.76500	-181.00400	-399.34600	-119.22300	71.49500	409.35400	106.45000	-41.47080
-998.90300	-367.23000	-223.18000	294.95500	427.50700	242.27700	-307.97200	-326.51700	-170.64800	206.15300	348.32600	162.76900	-181.01000	-399.30400	-119.21200	71.49080	409.36400	106.45300	-41.47250
-998.80300	-367.18600	-223.15500	294.92300	427.51200	242.28000	-307.97600	-326.48200	-170.63100	206.13500	348.33400	162.77300	-181.01500	-399.26200	-119.20100	71.48660	409.37400	106.45600	-41.47430
-998.70300	-367.14200	-223.13000	294.89200	427.51700	242.28300	-307.98000	-326.44600	-170.61500	206.11600	348.34200	162.77800	-181.02000	-399.22000	-119.19000	71.48230	409.38400	106.45900	-41.47600
-998.60300	-367.09900	-223.10500	294.86000	427.52100	242.28600	-307.98300	-326.41100	-170.59800	206.09800	348.35000	162.78200	-181.02500	-399.17800	-119.18000	71.47810	409.39300	106.46200	-41.47780
-998.50300	-367.05500	-223.08100	294.82900	427.52600	242.28900	-307.98700	-326.37500	-170.58100	206.07900	348.35800	162.78600	-181.03000	-399.13700	-119.16900	71.47390	409.40300	106.46500	-41.47950
-998.40300	-367.01100	-223.05600	294.79700	427.53100	242.29200	-307.99100	-326.33900	-170.56500	206.06100	348.36600	162.79000	-181.03500	-399.09500	-119.15800	71.46960	409.41300	106.46800	-41.48130
-998.30300	-366.96700	-223.03100	294.76600	427.53600	242.29500	-307.99500	-326.30400	-170.54800	206.04200	348.37400	162.79400	-181.04000	-399.05300	-119.14700	71.46540	409.42300	106.47100	-41.48300
-998.20300	-366.92400	-223.00600	294.73400	427.54100	242.29800	-307.99900	-326.26800	-170.53100	206.02400	348.38200	162.79900	-181.04500	-399.01100	-119.13600	71.46110	409.43200	106.47400	-41.48480
-998.10300	-366.88000	-222.98100	294.70300	427.54600	242.30100	-308.00300	-326.23200	-170.51500	206.00500	348.39000	162.80300	-181.05000	-398.96900	-119.12500	71.45690	409.44200	106.47700	-41.48650
-998.00300	-366.83600	-222.95700	294.67100	427.55000	242.30400	-308.00700	-326.19700	-170.49800	205.98700	348.39800	162.80700	-181.05500	-398.92700	-119.11400	71.45260	409.45200	106.48000	-41.48830
-997.90300	-366.79200	-222.93200	294.64000	427.55500	242.30700	-308.01100	-326.16100	-170.48100	205.96800	348.40700	162.81100	-181.06000	-398.88500	-119.10300	71.44840	409.46200	106.48200	-41.49000
-997.80300	-366.74900	-222.90700	294.60800	427.56000	242.31000	-308.01400	-326.12600	-170.46500	205.95000	348.41500	162.81500	-181.06600	-398.84300	-119.09200	71.44410	409.47100	106.48500	-41.49180
-997.70300	-366.70500	-222.88200	294.57700	427.56500	242.31200	-308.01800	-326.09000	-170.44800	205.93100	348.42300	162.82000	-181.07100	-398.80200	-119.08200	71.43990	409.48100	106.48800	-41.49350
-997.60300	-366.66100	-222.85800	294.54500	427.57000	242.31500	-308.02200	-326.05400	-170.43100	205.91300	348.43100	162.82400	-181.07600	-398.76000	-119.07100	71.43560	409.49100	106.49100	-41.49530
-997.50300	-366.61700	-222.83300	294.51400	427.57500	242.31800	-308.02600	-326.01900	-170.41500	205.89400	348.43900	162.82800	-181.08100	-398.71800	-119.06000	71.43140	409.50100	106.49400	-41.49700
-997.40400	-366.57400	-222.80800	294.48200	427.57900	242.32100	-308.03000	-325.98300	-170.39800	205.87600	348.44700	162.83200	-181.08600	-398.67600	-119.04900	71.42710	409.51100	106.49700	-41.49880
-997.30400	-366.53000	-222.78300	294.45100	427.58400	242.32400	-308.03400	-325.94700	-170.38100	205.85700	348.45500	162.83700	-181.09100	-398.63400	-119.03800	71.42290	409.52000	106.50000	-41.50050
-997.20400	-366.48600	-222.75800	294.41900	427.58900	242.32700	-308.03800	-325.91200	-170.36500	205.83900	348.46300	162.84100	-181.09600	-398.59200	-119.02700	71.41860	409.53000	106.50300	-41.50230
