time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-24.15450	-87.33280	-36.31280	227.55600	561.34500	377.66800	-24.26200	-75.56740	-38.12820	215.67900	418.20100	373.44900	-35.43860	-50.76290	-63.80450	263.19700	203.41400	497.49100
-999.90300	-24.13130	-87.27540	-36.27420	227.60300	561.51600	377.74000	-24.23990	-75.52470	-38.09000	215.74400	418.40400	373.55100	-35.41170	-50.74210	-63.75370	263.29000	203.54800	497.65900
-999.80300	-24.10800	-87.21790	-36.23550	227.65100	561.68900	377.81100	-24.21790	-75.48180	-38.05180	215.80900	418.60600	373.65300	-35.38470	-50.72130	-63.70270	263.38400	203.68200	497.82700
-999.70300	-24.08470	-87.16050	-36.19690	227.69800	561.86100	377.88300	-24.19580	-75.43900	-38.01360	215.87400	418.80900	373.75600	-35.35780	-50.70050	-63.65180	263.47700	203.81600	497.99500
-999.60300	-24.06140	-87.10300	-36.15820	227.74600	562.03400	377.95400	-24.17370	-75.39620	-37.97530	215.93900	419.01200	373.85800	-35.33080	-50.67960	-63.60090	263.57100	203.95000	498.16400
-999.50300	-24.03810	-87.04550	-36.11960	227.79400	562.20600	378.02600	-24.15160	-75.35330	-37.93710	216.00500	419.21600	373.96100	-35.30390	-50.65870	-63.54990	263.66500	204.08400	498.33200
-999.40300	-24.01480	-86.98800	-36.08090	227.84200	562.38000	378.09800	-24.12950	-75.31040	-37.89880	216.07000	419.42000	374.06300	-35.27690	-50.63790	-63.49900	263.75800	204.21900	498.50100
-999.30300	-23.99150	-86.93050	-36.04220	227.88900	562.55300	378.17000	-24.10740	-75.26750	-37.86060	216.13500	419.62400	374.16600	-35.24990	-50.61700	-63.44800	263.85200	204.35400	498.67000
-999.20300	-23.96820	-86.87300	-36.00350	227.93700	562.72700	378.24200	-24.08530	-75.22460	-37.82230	216.20100	419.82800	374.26900	-35.22290	-50.59610	-63.39700	263.94600	204.48900	498.84000
-999.10300	-23.94490	-86.81540	-35.96490	227.98500	562.90100	378.31400	-24.06320	-75.18160	-37.78400	216.26600	420.03300	374.37200	-35.19590	-50.57510	-63.34590	264.04000	204.62400	499.00900
-999.00300	-23.92160	-86.75780	-35.92620	228.03300	563.07500	378.38600	-24.04110	-75.13870	-37.74570	216.33200	420.23800	374.47500	-35.16890	-50.55420	-63.29490	264.13500	204.75900	499.17900
-998.90300	-23.89820	-86.70020	-35.88750	228.08100	563.24900	378.45800	-24.01900	-75.09570	-37.70740	216.39800	420.44300	374.57800	-35.14190	-50.53330	-63.24380	264.22900	204.89500	499.34900
-998.80300	-23.87490	-86.64260	-35.84880	228.13000	563.42400	378.53000	-23.99680	-75.05270	-37.66910	216.46300	420.64900	374.68100	-35.11490	-50.51230	-63.19270	264.32400	205.03100	499.51900
-998.70300	-23.85160	-86.58500	-35.81000	228.17800	563.59900	378.60300	-23.97470	-75.00970	-37.63080	216.52900	420.85500	374.78400	-35.08780	-50.49130	-63.14170	264.41800	205.16700	499.68900
-998.60300	-23.82820	-86.52730	-35.77130	228.22600	563.77400	378.67500	-23.95250	-74.96660	-37.59250	216.59500	421.06100	374.88800	-35.06080	-50.47030	-63.09050	264.51300	205.30400	499.86000
-998.50300	-23.80490	-86.46970	-35.73260	228.27400	563.95000	378.74800	-23.93040	-74.92350	-37.55410	216.66100	421.26700	374.99100	-35.03370	-50.44930	-63.03940	264.60800	205.44000	500.03000
-998.40300	-23.78150	-86.41200	-35.69390	228.32300	564.12600	378.82000	-23.90820	-74.88040	-37.51580	216.72700	421.47400	375.09500	-35.00670	-50.42830	-62.98830	264.70300	205.57700	500.20100
-998.30300	-23.75820	-86.35430	-35.65510	228.37100	564.30200	378.89300	-23.88610	-74.83730	-37.47740	216.79300	421.68100	375.19800	-34.97960	-50.40730	-62.93710	264.79800	205.71400	500.37200
-998.20300	-23.73480	-86.29650	-35.61640	228.42000	564.47800	378.96600	-23.86390	-74.79420	-37.43900	216.85900	421.88900	375.30200	-34.95250	-50.38620	-62.88590	264.89300	205.85100	500.54400
-998.10300	-23.71150	-86.23880	-35.57760	228.46800	564.65500	379.03900	-23.84170	-74.75100	-37.40060	216.92600	422.09600	375.40600	-34.92540	-50.36520	-62.83470	264.98800	205.98900	500.71500
-998.00300	-23.68810	-86.18100	-35.53880	228.51700	564.83200	379.11200	-23.81950	-74.70780	-37.36220	216.99200	422.30400	375.51000	-34.89830	-50.34410	-62.78350	265.08400	206.12600	500.88700
-997.90300	-23.66470	-86.12330	-35.50000	228.56600	565.00900	379.18500	-23.79730	-74.66460	-37.32380	217.05800	422.51300	375.61400	-34.87120	-50.32300	-62.73230	265.17900	206.26400	501.05900
-997.80300	-23.64140	-86.06550	-35.46130	228.61400	565.18700	379.25800	-23.77510	-74.62140	-37.28540	217.12500	422.72100	375.71900	-34.84410	-50.30190	-62.68100	265.27500	206.40200	501.23100
-997.70300	-23.61800	-86.00770	-35.42250	228.66300	565.36400	379.33100	-23.75290	-74.57820	-37.24700	217.19100	422.93000	375.82300	-34.81690	-50.28080	-62.62970	265.37100	206.54100	501.40300
-997.60300	-23.59460	-85.94980	-35.38370	228.71200	565.54200	379.40400	-23.73070	-74.53490	-37.20850	217.25800	423.14000	375.92800	-34.78980	-50.25970	-62.57850	265.46700	206.67900	501.57600
-997.50300	-23.57120	-85.89200	-35.34490	228.76100	565.72100	379.47800	-23.70850	-74.49160	-37.17010	217.32500	423.34900	376.03200	-34.76260	-50.23850	-62.52710	265.56300	206.81800	501.74900
-997.40400	-23.54780	-85.83410	-35.30600	228.81000	565.89900	379.55100	-23.68620	-74.44830	-37.13160	217.39200	423.55900	376.13700	-34.73550	-50.21740	-62.47580	265.65900	206.95700	501.92200
-997.30400	-23.52440	-85.77620	-35.26720	228.85900	566.07800	379.62500	-23.66400	-74.40500	-37.09310	217.45800	423.76900	376.24200	-34.70830	-50.19620	-62.42450	265.75500	207.09700	502.09500
-997.20400	-23.50100	-85.71830	-35.22840	228.90800	566.25700	379.69800	-23.64180	-74.36160	-37.05460	217.52500	423.98000	376.34700	-34.68110	-50.17500	-62.37310	265.85200	207.23600	502.26800
-997.10400	-23.47760	-85.66040	-35.18960	228.95700	566.43700	379.77200	-23.61950	-74.31830	-37.01620	217.59200	424.19000	376.45200	-34.65390	-50.15380	-62.32170	265.94800	207.37600	502.44200
-997.00400	-23.45410	-85.60250	-35.15070	229.00600	566.61700	379.84600	-23.59720	-74.27490	-36.97760	217.65900	424.40200	376.55700	-34.62670	-50.13260	-62.27040	266.04500	207.51600	502.61600
-996.90400	-23.43070	-85.54450	-35.11190	229.05600	566.79700	379.92000	-23.57500	-74.23150	-36.93910	217.72700	424.61300	376.66200	-34.59950	-50.11130	-62.21890	266.14200	207.65600	502.79000
-996.80400	-23.40730	-85.48650	-35.07300	229.10500	566.97700	379.99400	-23.55270	-74.18800	-36.90060	217.79400	424.82500	376.76700	-34.57230	-50.09010	-62.16750	266.23900	207.79600	502.96400
-996.70400	-23.38390	-85.42850	-35.03410	229.15500	567.15800	380.06800	-23.53040	-74.14460	-36.86210	217.86100	425.03700	376.87300	-34.54500	-50.06880	-62.11610	266.33600	207.93700	503.13900
-996.60400	-23.36040	-85.37050	-34.99530	229.20400	567.33800	380.14200	-23.50810	-74.10110	-36.82350	217.92900	425.24900	376.97800	-34.51780	-50.04760	-62.06460	266.43300	208.07800	503.31400
-996.50400	-23.33700	-85.31250	-34.95640	229.25400	567.52000	380.21600	-23.48590	-74.05760	-36.78500	217.99600	425.46200	377.08400	-34.49050	-50.02630	-62.01310	266.53000	208.21900	503.48800
-996.40400	-23.31350	-85.25440	-34.91750	229.30300	567.70100	380.29000	-23.46360	-74.01410	-36.74640	218.06400	425.67500	377.19000	-34.46330	-50.00500	-61.96160	266.62800	208.36000	503.66400
-996.30400	-23.29010	-85.19640	-34.87860	229.35300	567.88300	380.36500	-23.44130	-73.97050	-36.70780	218.13100	425.88800	377.29600	-34.43600	-49.98370	-61.91010	266.72500	208.50200	503.83900
-996.20400	-23.26660	-85.13830	-34.83970	229.40300	568.06500	380.43900	-23.41890	-73.92690	-36.66920	218.19900	426.10200	377.40200	-34.40870	-49.96230	-61.85860	266.82300	208.64300	504.01500
-996.10400	-23.24320	-85.08020	-34.80080	229.45200	568.24700	380.51400	-23.39660	-73.88340	-36.63060	218.26700	426.31600	377.50800	-34.38140	-49.94100	-61.80700	266.92100	208.78600	504.19000
-996.00400	-23.21970	-85.02210	-34.76190	229.50200	568.43000	380.58800	-23.37430	-73.83980	-36.59200	218.33400	426.53000	377.61400	-34.35410	-49.91960	-61.75540	267.01900	208.92800	504.36600
-995.90400	-23.19620	-84.96390	-34.72300	229.55200	568.61200	380.66300	-23.35200	-73.79610	-36.55340	218.40200	426.74500	377.72000	-34.32680	-49.89830	-61.70380	267.11700	209.07000	504.54300
-995.80400	-23.17270	-84.90570	-34.68400	229.60200	568.79600	380.73800	-23.32960	-73.75250	-36.51470	218.47000	426.96000	377.82700	-34.29950	-49.87690	-61.65220	267.21500	209.21300	504.71900
-995.70400	-23.14930	-84.84760	-34.64510	229.65200	568.97900	380.81300	-23.30730	-73.70880	-36.47610	218.53900	427.17500	377.93300	-34.27210	-49.85550	-61.60060	267.31300	209.35600	504.89600
-995.60400	-23.12580	-84.78940	-34.60610	229.70200	569.16300	380.88800	-23.28490	-73.66510	-36.43740	218.60700	427.39100	378.04000	-34.24480	-49.83400	-61.54900	267.41200	209.49900	505.07300
-995.50400	-23.10230	-84.73120	-34.56720	229.75200	569.34700	380.96300	-23.26260	-73.62140	-36.39880	218.67500	427.60700	378.14700	-34.21740	-49.81260	-61.49730	267.51000	209.64300	505.25000
-995.40400	-23.07880	-84.67290	-34.52820	229.80300	569.53100	381.03800	-23.24020	-73.57760	-36.36010	218.74300	427.82300	378.25400	-34.19010	-49.79120	-61.44560	267.60900	209.78600	505.42700
-995.30400	-23.05530	-84.61470	-34.48920	229.85300	569.71600	381.11300	-23.21780	-73.53390	-36.32140	218.81200	428.03900	378.36100	-34.16270	-49.76970	-61.39390	267.70800	209.93000	505.60500
-995.20400	-23.03180	-84.55640	-34.45030	229.90300	569.90100	381.18900	-23.19540	-73.49010	-36.28270	218.88000	428.25600	378.46800	-34.13530	-49.74820	-61.34220	267.80700	210.07400	505.78300
-995.10400	-23.00820	-84.49810	-34.41130	229.95400	570.08600	381.26400	-23.17300	-73.44630	-36.24400	218.94900	428.47400	378.57500	-34.10790	-49.72670	-61.29050	267.90600	210.21900	505.96100
-995.00400	-22.98470	-84.43980	-34.37230	230.00400	570.27200	381.33900	-23.15070	-73.40240	-36.20530	219.01700	428.69100	378.68200	-34.08050	-49.70520	-61.23870	268.00500	210.36300	506.13900
-994.90400	-22.96120	-84.38140	-34.33330	230.05500	570.45700	381.41500	-23.12830	-73.35860	-36.16650	219.08600	428.90900	378.79000	-34.05310	-49.68370	-61.18690	268.10400	210.50800	506.31700
-994.80400	-22.93770	-84.32310	-34.29430	230.10500	570.64400	381.49100	-23.10580	-73.31470	-36.12780	219.15500	429.12700	378.89700	-34.02570	-49.66220	-61.13510	268.20400	210.65300	506.49600
-994.70400	-22.91410	-84.26470	-34.25520	230.15600	570.83000	381.56600	-23.08340	-73.27080	-36.08900	219.22400	429.34600	379.00500	-33.99820	-49.64060	-61.08330	268.30300	210.79900	506.67500
-994.60400	-22.89060	-84.20630	-34.21620	230.20700	571.01700	381.64200	-23.06100	-73.22690	-36.05030	219.29300	429.56500	379.11300	-33.97080	-49.61900	-61.03150	268.40300	210.94400	506.85400
-994.50400	-22.86700	-84.14790	-34.17720	230.25800	571.20400	381.71800	-23.03860	-73.18290	-36.01150	219.36200	429.78400	379.22100	-33.94340	-49.59750	-60.97970	268.50300	211.09000	507.03300
-994.40400	-22.84350	-84.08950	-34.13810	230.30900	571.39100	381.79400	-23.01610	-73.13900	-35.97270	219.43100	430.00300	379.32900	-33.91590	-49.57590	-60.92780	268.60300	211.23600	507.21300
-994.30400	-22.81990	-84.03100	-34.09910	230.36000	571.57900	381.87000	-22.99370	-73.09500	-35.93390	219.50000	430.22300	379.43700	-33.88840	-49.55430	-60.87590	268.70300	211.38300	507.39300
-994.20400	-22.79640	-83.97260	-34.06000	230.41100	571.76700	381.94700	-22.97120	-73.05100	-35.89510	219.56900	430.44400	379.54500	-33.86090	-49.53260	-60.82400	268.80300	211.52900	507.57300
-994.10400	-22.77280	-83.91410	-34.02100	230.46200	571.95500	382.02300	-22.94880	-73.00690	-35.85630	219.63800	430.66400	379.65300	-33.83340	-49.51100	-60.77210	268.90400	211.67600	507.75300
-994.00400	-22.74920	-83.85560	-33.98190	230.51300	572.14300	382.09900	-22.92630	-72.96290	-35.81740	219.70800	430.88500	379.76200	-33.80590	-49.48930	-60.72020	269.00400	211.82300	507.93400
-993.90400	-22.72570	-83.79710	-33.94280	230.56400	572.33200	382.17600	-22.90380	-72.91880	-35.77860	219.77700	431.10600	379.87000	-33.77840	-49.46770	-60.66820	269.10500	211.97100	508.11400
-993.80400	-22.70210	-83.73850	-33.90370	230.61500	572.52100	382.25200	-22.88140	-72.87470	-35.73970	219.84700	431.32800	379.97900	-33.75090	-49.44600	-60.61620	269.20500	212.11800	508.29500
-993.70400	-22.67850	-83.68000	-33.86460	230.66700	572.71100	382.32900	-22.85890	-72.83060	-35.70090	219.91700	431.55000	380.08800	-33.72330	-49.42430	-60.56420	269.30600	212.26600	508.47700
