time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-261.47000	-368.44600	22.10230	314.26400	398.33700	-5.90225	-228.79400	-260.31600	-9.48593	237.65000	220.74900	32.90260	-291.90500	-165.47300	-89.47600	283.49600	121.79600	104.96500
-999.90300	-261.43800	-368.40500	22.10170	314.26900	398.34400	-5.90269	-228.77000	-260.29400	-9.48256	237.66100	220.76100	32.90310	-291.87600	-165.46000	-89.46530	283.50900	121.80300	104.96900
-999.80300	-261.40600	-368.36400	22.10110	314.27400	398.35200	-5.90314	-228.74600	-260.27100	-9.47920	237.67100	220.77300	32.90350	-291.84700	-165.44800	-89.45460	283.52100	121.81000	104.97300
-999.70300	-261.37400	-368.32400	22.10050	314.28000	398.35900	-5.90358	-228.72100	-260.24900	-9.47583	237.68100	220.78400	32.90390	-291.81800	-165.43600	-89.44380	283.53400	121.81800	104.97700
-999.60300	-261.34200	-368.28300	22.09980	314.28500	398.36600	-5.90402	-228.69700	-260.22600	-9.47247	237.69100	220.79600	32.90430	-291.78900	-165.42300	-89.43310	283.54700	121.82500	104.98100
-999.50300	-261.30900	-368.24200	22.09920	314.29000	398.37400	-5.90447	-228.67300	-260.20300	-9.46910	237.70100	220.80700	32.90470	-291.76000	-165.41100	-89.42230	283.56000	121.83200	104.98500
-999.40300	-261.27700	-368.20100	22.09860	314.29500	398.38100	-5.90491	-228.64800	-260.18100	-9.46574	237.71200	220.81900	32.90520	-291.73100	-165.39800	-89.41160	283.57300	121.83900	104.98900
-999.30300	-261.24500	-368.16100	22.09800	314.30100	398.38900	-5.90535	-228.62400	-260.15800	-9.46237	237.72200	220.83100	32.90560	-291.70200	-165.38600	-89.40090	283.58600	121.84700	104.99300
-999.20300	-261.21300	-368.12000	22.09740	314.30600	398.39600	-5.90580	-228.60000	-260.13600	-9.45901	237.73200	220.84200	32.90600	-291.67300	-165.37300	-89.39020	283.59900	121.85400	104.99600
-999.10300	-261.18100	-368.07900	22.09680	314.31100	398.40300	-5.90624	-228.57600	-260.11300	-9.45564	237.74200	220.85400	32.90640	-291.64400	-165.36100	-89.37940	283.61200	121.86100	105.00000
-999.00300	-261.14900	-368.03800	22.09620	314.31600	398.41100	-5.90669	-228.55100	-260.09000	-9.45228	237.75200	220.86500	32.90680	-291.61500	-165.34800	-89.36870	283.62500	121.86900	105.00400
-998.90300	-261.11600	-367.99800	22.09560	314.32200	398.41800	-5.90713	-228.52700	-260.06800	-9.44891	237.76300	220.87700	32.90730	-291.58600	-165.33600	-89.35790	283.63700	121.87600	105.00800
-998.80300	-261.08400	-367.95700	22.09500	314.32700	398.42600	-5.90758	-228.50300	-260.04500	-9.44555	237.77300	220.88900	32.90770	-291.55700	-165.32300	-89.34720	283.65000	121.88300	105.01200
-998.70300	-261.05200	-367.91600	22.09440	314.33200	398.43300	-5.90802	-228.47800	-260.02300	-9.44218	237.78300	220.90000	32.90810	-291.52800	-165.31100	-89.33650	283.66300	121.89100	105.01600
-998.60300	-261.02000	-367.87500	22.09380	314.33700	398.44000	-5.90847	-228.45400	-260.00000	-9.43882	237.79300	220.91200	32.90850	-291.49900	-165.29800	-89.32570	283.67600	121.89800	105.02000
-998.50300	-260.98800	-367.83500	22.09320	314.34300	398.44800	-5.90891	-228.43000	-259.97700	-9.43545	237.80300	220.92300	32.90900	-291.47000	-165.28600	-89.31500	283.68900	121.90500	105.02400
-998.40300	-260.95600	-367.79400	22.09260	314.34800	398.45500	-5.90936	-228.40500	-259.95500	-9.43209	237.81400	220.93500	32.90940	-291.44100	-165.27400	-89.30430	283.70200	121.91300	105.02800
-998.30300	-260.92400	-367.75300	22.09200	314.35300	398.46300	-5.90980	-228.38100	-259.93200	-9.42872	237.82400	220.94700	32.90980	-291.41200	-165.26100	-89.29350	283.71500	121.92000	105.03200
