time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-139.54500	-224.71200	-95.35280	267.94300	371.27900	206.03000	-119.26000	-157.31500	-94.73000	189.42800	181.27900	176.61000	-138.72900	-84.38460	-147.78000	200.05700	62.72060	235.58300
-999.90300	-139.51800	-224.67400	-95.33170	267.95500	371.29800	206.03800	-119.24000	-157.29700	-94.71190	189.44900	181.30700	176.62700	-138.70900	-84.37820	-147.75600	200.08100	62.73530	235.60900
-999.80300	-139.49000	-224.63600	-95.31070	267.96600	371.31700	206.04600	-119.22100	-157.27800	-94.69390	189.47000	181.33500	176.64300	-138.68800	-84.37170	-147.73200	200.10600	62.75010	235.63500
-999.70300	-139.46300	-224.59800	-95.28960	267.97800	371.33600	206.05400	-119.20200	-157.26000	-94.67580	189.49100	181.36300	176.66000	-138.66800	-84.36530	-147.70800	200.13000	62.76480	235.66100
-999.60300	-139.43600	-224.56000	-95.26850	267.99000	371.35400	206.06200	-119.18200	-157.24100	-94.65770	189.51200	181.39000	176.67700	-138.64700	-84.35890	-147.68400	200.15400	62.77960	235.68700
-999.50300	-139.40800	-224.52200	-95.24740	268.00100	371.37300	206.07000	-119.16300	-157.22300	-94.63970	189.53300	181.41800	176.69400	-138.62700	-84.35250	-147.66000	200.17800	62.79430	235.71200
-999.40300	-139.38100	-224.48400	-95.22640	268.01300	371.39200	206.07800	-119.14300	-157.20400	-94.62160	189.55400	181.44600	176.71000	-138.60600	-84.34610	-147.63500	200.20300	62.80910	235.73800
-999.30300	-139.35300	-224.44600	-95.20530	268.02500	371.41100	206.08600	-119.12400	-157.18500	-94.60350	189.57500	181.47400	176.72700	-138.58600	-84.33960	-147.61100	200.22700	62.82380	235.76400
-999.20300	-139.32600	-224.40800	-95.18420	268.03600	371.42900	206.09400	-119.10500	-157.16700	-94.58540	189.59600	181.50100	176.74400	-138.56500	-84.33320	-147.58700	200.25100	62.83860	235.79000
-999.10300	-139.29900	-224.37000	-95.16310	268.04800	371.44800	206.10200	-119.08500	-157.14800	-94.56730	189.61800	181.52900	176.76000	-138.54500	-84.32680	-147.56300	200.27500	62.85340	235.81600
